GEG,SEA
DFW,LAX
LAX,DFW
LGA,DTW
CAE,ATL
ORD,ATL
DEN,LGA
LGA,DEN
SLC,OAK
SJC,ATL
ATL,PIT
PIT,ATL
PDX,DTW
DTW,MSN
MSP,ALB
DTW,ATL
SLC,PHL
ATL,ATW
SLC,SJC
JFK,DEN
DTW,RSW
RSW,DTW
ROC,MSP
SEA,BNA
SEA,AUS
PHX,SLC
ATL,EYW
ATL,CID
RNO,SLC
AUS,SEA
BNA,SEA
TPA,CVG
MSP,PDX
CLT,DTW
FAR,MSP
ATL,AGS
DEN,SLC
MCO,CVG
CVG,SFO
BOS,MCO
SAN,ATL
MSP,FSD
DTW,BWI
LAS,LAX
BTV,ATL
AUS,LAX
DTW,SFO
LAX,BOS
PDX,SEA
SEA,SAN
MSP,CLT
JFK,MSY
ATL,BTV
ATL,HSV
HSV,ATL
OAK,SLC
EWR,MSP
ATL,AUS
MSP,PHL
LAX,LAS
AUS,MSP
ATL,OAK
OAK,ATL
BOS,AUS
DTW,MCI
BOS,FLL
FLL,BOS
LAX,PDX
BOS,RDU
RDU,BOS
MSP,JAC
BOS,SEA
BOI,SLC
SFO,ATL
DTW,BDL
SFO,MSP
FLL,SLC
SEA,IND
FAI,SEA
SEA,FAI
ATL,BUR
BUR,ATL
GEG,MSP
SLC,PHX
ATL,SJU
ATL,OMA
OMA,ATL
DTW,LAS
DTW,PDX
MSP,DFW
SAN,MSP
ATL,SYR
SYR,ATL
IAH,LGA
LGA,IAH
MKE,MSP
MSP,MKE
PDX,SLC
SLC,PDX
SEA,JFK
SLC,BOI
DTW,ROC
PDX,LAX
SJU,ATL
SEA,LIH
LAX,MSP
ATL,HPN
SLC,FLL
BWI,SLC
SAN,SEA
SMF,DTW
ATL,IAD
MSP,TVC
TVC,MSP
ATL,ONT
ONT,ATL
MSN,MSP
MSP,MSN
MSP,BUF
LAS,DTW
MSY,LAX
MSY,SLC
SLC,MSY
PHL,MSP
PHL,SLC
SFO,JFK
JFK,PBI
PBI,JFK
LGA,DFW
MEM,MSP
DTW,RDU
RDU,DTW
DTW,PWM
PHL,DTW
DFW,SLC
JFK,STT
STT,JFK
CID,ATL
PHX,DTW
RDU,LAX
PWM,DTW
LAX,IND
FLL,RDU
ATL,GRR
IAD,MSP
MSP,IAD
ABE,ATL
DTW,GRR
GRR,DTW
SLC,BNA
BDL,MSP
MSP,BDL
BOS,LGA
DTW,SLC
ATL,STT
STT,ATL
HNL,MSP
MSP,HNL
IND,LAX
RDU,MCO
HNL,DTW
DTW,HNL
PDX,MSP
SLC,HNL
HNL,SLC
MCO,MSP
LAX,HNL
HNL,LAX
TPA,LAX
SEA,CVG
BOI,MSP
LAX,CMH
MSP,ROC
PHL,ATL
BZN,MSP
MSP,BZN
JFK,SJC
MSP,GEG
MSP,SAT
LAX,SMF
DTW,TVC
CLE,DTW
ATL,GPT
JFK,SAT
ATL,SJC
CVG,TPA
BNA,LAX
IND,SEA
ATL,MKE
ATL,FNT
MSP,MCI
ATL,CMH
MSP,CMH
LAX,LIH
ROC,ATL
ATL,JAC
SLC,ONT
LGA,TVC
TVC,LGA
SLC,SAT
BOS,JFK
CLT,MSP
DTW,SRQ
SRQ,DTW
DTW,GSP
LAX,BZN
ATL,AVL
BOS,SAV
SAV,BOS
ATL,STX
STX,ATL
ATL,MSO
LGA,MYR
MYR,LGA
BZN,DTW
MSP,FAR
ATL,FCA
